#EXPID	Flag	comments
#Flags: 1=possibly saturated; 2=clouds; 3=other source
346662	1
346663	1
346664	1
346665	1
347736	1
347737	1
347738	1
347739	1
347740	1
347741	1
347744	1
347747	1
347748	1
347750	1
347751	1
347752	1
347753	1
347754	1
347755	1
347756	1
347757	1
347758	1
347759	1
347760	1
347761	1
347762	1
347763	1
347764	1
347765	1
347766	1
347767	1
347768	1
347769	1
347770	1
347771	1
347772	1
347773	1
347774	1
347775	1
347776	1
347777	1
347778	1
347779	1
347780	1
347781	1
347782	1
347783	1
347784	1
347785	1
347786	1
347787	1
347788	1
347789	1
347790	1
348295	3	DECAL lights on top ring turned on
393680	2
393681	2
393682	2
393683	2
393684	2
393685	2
396101	3
396131	3	active optics failure
425616	3	guiding failed
425619	3	telescope moved, double stars
520012  3       Vsub not working 
522055  3       pointing moved 
535197  3       pointing moved
535355  3       shutter control failed. Image not taken
535578  3       depth factor < 0.4 because seeing blew up
535579  3       depth factor < 0.4 because seeing blew up
535872  3       depth factor < 0.2 because 23sec exposure
535873  3       depth factor < 0.2 because 23sec exposure
535874  3       depth factor < 0.2 because 23sec exposure
536280  3       depth factor < 0.3 because of clouds
536314  3       transparency < 0.3 and depth factor < 0.3
536315  3       transparency < 0.3 and depth factor < 0.3
536316  3       transparency < 0.3 and depth factor < 0.3
536317  3       transparency < 0.3 and depth factor < 0.3
536318  3       transparency < 0.3 and depth factor < 0.3
536319  3       transparency < 0.3 and depth factor < 0.3
536320  3       transparency < 0.3 and depth factor < 0.3
536321  3       transparency < 0.3 and depth factor < 0.3
536322  3       transparency < 0.3 and depth factor < 0.3
536323  3       transparency < 0.3 and depth factor < 0.3
536324  3       transparency < 0.3 and depth factor < 0.3
536325  3       transparency < 0.3 and depth factor < 0.3
536326  3       transparency < 0.3 and depth factor < 0.3
536327  3       transparency < 0.3 and depth factor < 0.3
536328  3       transparency < 0.3 and depth factor < 0.3
536329  3       transparency < 0.3 and depth factor < 0.3
536330  3       transparency < 0.3 and depth factor < 0.3
536331  3       transparency < 0.3 and depth factor < 0.3
536332  3       transparency < 0.3 and depth factor < 0.3
536333  3       transparency < 0.3 and depth factor < 0.3
536334  3       transparency < 0.3 and depth factor < 0.3
536335  3       transparency < 0.3 and depth factor < 0.3
536336  3       transparency < 0.3 and depth factor < 0.3
536337  3       transparency < 0.3 and depth factor < 0.3
536338  3       transparency < 0.3 and depth factor < 0.3
536347  3       transparency < 0.3 and depth factor < 0.3
536348  3       transparency < 0.3 and depth factor < 0.3
536349  3       transparency < 0.3 and depth factor < 0.3
536350  3       transparency < 0.3 and depth factor < 0.3
536351  3       transparency < 0.3 and depth factor < 0.3
536354  3       transparency < 0.3 and depth factor < 0.3
536355  3       transparency < 0.3 and depth factor < 0.3
536356  3      clouds; depth factor = 0.00 
536357  3      clouds; depth factor = 0.00 
536358  3      clouds; depth factor = 0.00 
536409  3      depth factor < 0.1.
536410  3      depth factor < 0.1.
536411  3      depth factor < 0.1.
536412  3      depth factor < 0.1.
536415  3      depth factor < 0.3
548172  3	no guide stars. Maybe ok anyway.
548188  3	no guide stars. Double images. Bad.
548218  3	no guide stars. Double images. Bad.
548362  3	no guide stars. Double images. Bad.
548400  3	lost guide stars 2/3 in. Double images. Bad.
548414  2	lost guide
548415  2	lost guide
548416  2	lost guide
548417  2	lost guide
552525  2  transparency < 0.3 thick clouds, and seeing > 2.5
552526  2  transparency < 0.3 thick clouds, and seeing > 2.5
552527  2  transparency < 0.3 thick clouds, and seeing > 2.5
