# Chip   XOFF       YOFF
    1   -0.3080    0.9041
    2    0.0024    0.9031
    3    0.3132    0.9026
    4   -0.4638    0.7403
    5   -0.1532    0.7400
    6    0.1576    0.7392
    7    0.4680    0.7380
    8   -0.6196    0.5763
    9   -0.3092    0.5761
   10    0.0017    0.5754
   11    0.3125    0.5745
   12    0.6230    0.5731
   13   -0.7753    0.4121
   14   -0.4653    0.4119
   15   -0.1543    0.4115
   16    0.1569    0.4105
   17    0.4677    0.4096
   18    0.7780    0.4083
   19   -0.7757    0.2480
   20   -0.4658    0.2473
   21   -0.1548    0.2468
   22    0.1565    0.2461
   23    0.4677    0.2451
   24    0.7777    0.2439
   25   -0.9313    0.0836
   26   -0.6215    0.0831
   27   -0.3108    0.0822
   28    0.0007    0.0816
   29    0.3118    0.0807
   30    0.6226    0.0798
   31    0.9323    0.0792
   32   -0.9318   -0.0808
   33   -0.6220   -0.0816
   34   -0.3113   -0.0825
   35   -0.0000   -0.0833
   36    0.3111   -0.0841
   37    0.6218   -0.0846
   38    0.9318   -0.0854
   39   -0.7773   -0.2456
   40   -0.4672   -0.2467
   41   -0.1560   -0.2475
   42    0.1553   -0.2484
   43    0.4663   -0.2490
   44    0.7764   -0.2495
   45   -0.7775   -0.4099
   46   -0.4676   -0.4111
   47   -0.1565   -0.4122
   48    0.1545   -0.4130
   49    0.4657   -0.4135
   50    0.7758   -0.4137
   51   -0.6226   -0.5748
   52   -0.3122   -0.5760
   53   -0.0011   -0.5769
   54    0.3096   -0.5777
   55    0.6201   -0.5779
   56   -0.4676   -0.7395
   57   -0.1572   -0.7406
   58    0.1537   -0.7414
   59    0.4642   -0.7418
   60   -0.3126   -0.9042
   62    0.3085   -0.9057
