# BAND INSTRUMENT DECRANGE            COLORCOEF           COLRANGE                 MAGCOEF                   MAGRANGE    MAGOFFSET
  u      c4d   [-90,90]  [-0.0967248,0.538169,-0.99276,0.638413,-0.0870974]   [0.3,1.8]   [-3.37718,1.08504,-0.130155,0.00691316,-0.000137193]   [10.5,17.6]   0.366428
  g      c4d   [-90,90]  [0.013003,0.011477,-0.0373113,0.0157496,-0.00291829]   [0.0,3.4]   [0.639082,-0.154266,0.0122559,-0.000320793]      [12.0,17.6]   -0.067463
  r      c4d   [-90,90]  [-0.00179129,0.00563741,-0.00384612]    [0.1,3.0]   [-0.426568,0.0590722,-0.00204229]  [13.0,17.6]   0.037045
  i      c4d   [-90,90]  [8.07495e-05,-8.07495e-05]  [0.1,3.0] [1.36815,-0.286408,0.019983,-0.000464658]   [13.0,17.6]    0.024841
  z      c4d   [-90,90]  [-0.0052368,0.00534433,-0.000107528]  [0.1,2.8]  [0.0625886,-0.00790543,0.000248857]   [11.0,17.0]    0.054211
  Y      c4d   [-90,90]  [-0.01043534,0.01043534]  [0.3,3.0]   [0.232169,-0.0493571,0.00306823,-5.39745e-05]   [11.0,17.0]   0.023560
  VR     c4d   [-90,90]  [0.00293846,-0.00188351,-0.00105494]  [0.3,3.4]   [-0.753225,0.0964281,-0.00308087]    [14.8,17.6]    -0.009914
  g      ksb   [-29,90]  []   [0.3,2.6]   []   [11.0,17.6]   0.0
  r      ksb   [-29,90]  []   [0.3,2.6]   []   [11.0,17.6]   0.0
  g      k4m   [-29,90]  []   [0.3,2.6]   []   [11.0,17.6]   0.0
  r      k4m   [-29,90]  []   [0.3,2.6]   []   [11.0,17.6]   0.0
  i      k4m   [-29,90]  []   [0.3,2.6]   []   [11.0,17.6]   0.0
  z      k4m   [-29,90]  []   [0.3,2.6]   []   [11.0,17.6]   0.0
  VR     k4m   [-29,90]  []   [0.3,2.6]   []   [11.0,17.6]   0.0
